level,term_path,term_id,term_url,title,agrovoc
2,C1156>C18849,C18849,http://id.agrisemantics.org/gacs/C18849,- Ozonization,http://aims.fao.org/aos/agrovoc/c_34874
2,C1156>C19467,C19467,http://id.agrisemantics.org/gacs/C19467,- Cotton ginning,http://aims.fao.org/aos/agrovoc/c_34005
2,C1156>C19882,C19882,http://id.agrisemantics.org/gacs/C19882,- Peeling,http://aims.fao.org/aos/agrovoc/c_5655
2,C1156>C20018,C20018,http://id.agrisemantics.org/gacs/C20018,- In vitro production,
2,C1156>C20158,C20158,http://id.agrisemantics.org/gacs/C20158,- Dissolving,http://aims.fao.org/aos/agrovoc/c_2335
2,C1156>C20782,C20782,http://id.agrisemantics.org/gacs/C20782,- Spinning,http://aims.fao.org/aos/agrovoc/c_7307
2,C1156>C20962,C20962,http://id.agrisemantics.org/gacs/C20962,- Husking,http://aims.fao.org/aos/agrovoc/c_3699
2,C1156>C20965,C20965,http://id.agrisemantics.org/gacs/C20965,- Delignification,http://aims.fao.org/aos/agrovoc/c_24014
2,C1156>C21045,C21045,http://id.agrisemantics.org/gacs/C21045,- Foaming,http://aims.fao.org/aos/agrovoc/c_24841
2,C1156>C21428,C21428,http://id.agrisemantics.org/gacs/C21428,- Aerobic treatment,
2,C1156>C21865,C21865,http://id.agrisemantics.org/gacs/C21865,- Deodorizing,http://aims.fao.org/aos/agrovoc/c_2188
2,C1156>C21933,C21933,http://id.agrisemantics.org/gacs/C21933,- Batch systems,
2,C1156>C22083,C22083,http://id.agrisemantics.org/gacs/C22083,- Gasification,http://aims.fao.org/aos/agrovoc/c_34000
2,C1156>C22257,C22257,http://id.agrisemantics.org/gacs/C22257,- Continuous systems,
2,C1156>C22812,C22812,http://id.agrisemantics.org/gacs/C22812,- Dyeing,
2,C1156>C22818,C22818,http://id.agrisemantics.org/gacs/C22818,- Grinding,
2,C1156>C2293,C2293,http://id.agrisemantics.org/gacs/C2293,- Purification,http://aims.fao.org/aos/agrovoc/c_6377
3,C1156>C2293>C14509,C14509,http://id.agrisemantics.org/gacs/C14509,- - Clarification (processing),http://aims.fao.org/aos/agrovoc/c_1652
3,C1156>C2293>C14529,C14529,http://id.agrisemantics.org/gacs/C14529,- - Decolorization,http://aims.fao.org/aos/agrovoc/c_28521
3,C1156>C2293>C28926,C28926,http://id.agrisemantics.org/gacs/C28926,- - Biorefining,
2,C1156>C22994,C22994,http://id.agrisemantics.org/gacs/C22994,- Splitting,
2,C1156>C23010,C23010,http://id.agrisemantics.org/gacs/C23010,- Nonthermal processing,
2,C1156>C23829,C23829,http://id.agrisemantics.org/gacs/C23829,- Slicing,
2,C1156>C23863,C23863,http://id.agrisemantics.org/gacs/C23863,- Macerating,http://aims.fao.org/aos/agrovoc/c_4494
2,C1156>C24046,C24046,http://id.agrisemantics.org/gacs/C24046,- Shelling,http://aims.fao.org/aos/agrovoc/c_14250
2,C1156>C24135,C24135,http://id.agrisemantics.org/gacs/C24135,- Marinating,http://aims.fao.org/aos/agrovoc/c_4605
2,C1156>C24726,C24726,http://id.agrisemantics.org/gacs/C24726,- Tenderizing,http://aims.fao.org/aos/agrovoc/c_7662
2,C1156>C24750,C24750,http://id.agrisemantics.org/gacs/C24750,- Wood processing,
2,C1156>C25206,C25206,http://id.agrisemantics.org/gacs/C25206,- Drilling,
2,C1156>C25387,C25387,http://id.agrisemantics.org/gacs/C25387,- Infusion,http://aims.fao.org/aos/agrovoc/c_50131
2,C1156>C25520,C25520,http://id.agrisemantics.org/gacs/C25520,- Barking,http://aims.fao.org/aos/agrovoc/c_9083
2,C1156>C26304,C26304,http://id.agrisemantics.org/gacs/C26304,- Dewatering,
2,C1156>C26633,C26633,http://id.agrisemantics.org/gacs/C26633,- Vitrification,
2,C1156>C27391,C27391,http://id.agrisemantics.org/gacs/C27391,- Boning,http://aims.fao.org/aos/agrovoc/c_1002
